
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 05월 19일~06월 17일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
완도,170,05-22,      18.6,      23.5,      14.4,       3.9,      70.3,       7.6,,,    1007.4,    1010.8,       3.2
고창,172,05-22,      18.7,      25.6,      12.6,       1.2,      73.7,       8.7,,,    1006.6,    1012.7,       2.3
제주,184,05-22,      19.0,      22.8,      15.8,       2.6,      69.1,       7.2,       5.2,       4.7,    1008.6,    1011.1,       2.7
고산,185,05-22,      17.9,      21.3,      15.1,       3.7,      80.2,       7.0,,,    1002.2,    1010.7,       5.1
성산,188,05-22,      18.5,      22.8,      14.2,       5.0,      73.1,       7.2,,,    1009.0,    1011.2,       2.6
서귀포,189,05-22,      19.6,      23.1,      16.5,       7.0,      69.9,       7.1,       5.2,       4.3,    1004.7,    1010.7,       2.2
진주,192,05-22,      18.9,      26.0,      12.2,       3.0,      65.7,       8.0,,,    1007.5,    1010.6,       1.4
강화,201,05-22,      16.9,      22.4,      11.8,       3.1,      69.8,       7.7,,,    1005.3,    1010.8,       2.0
양평,202,05-22,      18.6,      25.8,      12.0,       2.2,      65.2,       7.8,,,    1005.3,    1010.9,       1.3
이천,203,05-22,      18.6,      25.7,      11.9,       2.1,      61.0,       7.9,,,    1001.4,    1010.3,       1.4
인제,211,05-22,      17.0,      24.5,      10.3,       2.4,      65.7,       7.4,,,     987.1,    1010.3,       1.9
홍천,212,05-22,      17.8,      25.7,      10.9,       2.2,      62.1,       7.6,,,     994.2,    1010.6,       1.2
태백,216,05-22,      15.7,      22.3,       9.3,       2.6,      59.6,       7.9,,,     929.0,    1009.4,       1.7
정선군,217,05-22,      17.5,      26.1,       9.9,       1.7,      60.5,       8.1,,,     976.5,    1012.0,       1.6
제천,221,05-22,      17.2,      24.7,      10.0,       2.3,      63.2,       8.3,,,     980.4,    1010.6,       1.5
보은,226,05-22,      17.7,      25.0,      10.6,       2.8,      63.3,       8.4,,,     990.1,    1010.2,       1.4
천안,232,05-22,      18.6,      25.2,      12.2,       2.0,      62.5,       8.2,,,    1006.6,    1010.5,       1.8
보령,235,05-22,      17.6,      22.9,      12.6,       2.4,      71.9,       8.2,,,    1008.9,    1011.0,       1.9
부여,236,05-22,      18.6,      25.7,      12.3,       2.9,      66.8,       8.3,,,    1009.4,    1010.9,       1.3
금산,238,05-22,      18.0,      25.5,      10.8,       2.1,      63.5,       8.2,,,     990.8,    1010.8,       1.3
부안,243,05-22,      18.2,      24.3,      12.9,       2.0,      69.9,       8.3,,,    1009.9,    1011.0,       1.8
임실,244,05-22,      17.2,      24.9,      10.0,       2.0,      66.7,       8.1,,,     982.4,    1011.0,       1.4
정읍,245,05-22,      19.1,      25.7,      13.0,       2.1,      62.8,       7.9,,,    1005.5,    1010.8,       1.4
남원,247,05-22,      18.6,      25.9,      11.7,       2.2,      64.6,       8.1,,,     999.2,    1011.0,       1.6
장수,248,05-22,      16.8,      23.7,       9.9,       2.6,      68.2,       7.8,,,     964.0,    1010.8,       1.8
영광군,252,05-22,      18.3,      24.6,      12.7,       2.3,      71.1,       8.2,,,    1006.9,    1010.5,       2.1
김해시,253,05-22,      20.3,      26.3,      15.3,       3.7,      62.0,       8.2,,,    1005.1,    1012.0,       2.0
순창군,254,05-22,      18.9,      26.0,      12.2,       2.6,      65.1,       8.5,,,     996.9,    1011.6,       1.7
양산시,257,05-22,      19.8,      26.3,      14.1,       4.4,      61.3,       7.6,,,    1010.9,    1012.6,       2.6
강진군,259,05-22,      18.9,      25.0,      13.1,       2.5,      68.6,       8.4,,,    1010.7,    1012.2,       2.4
장흥,260,05-22,      18.4,      24.6,      12.3,       2.9,      69.5,       7.9,,,    1005.8,    1010.9,       2.0
해남,261,05-22,      18.4,      24.4,      12.7,       2.8,      71.1,       8.1,,,    1009.1,    1011.2,       2.3
고흥,262,05-22,      18.4,      24.6,      12.5,       3.6,      66.4,       7.8,,,    1004.9,    1011.0,       1.6
의령군,263,05-22,      19.3,      27.7,      11.5,       1.8,      65.7,       8.1,,,    1010.4,    1012.1,       1.2
함양군,264,05-22,      18.5,      26.6,      10.5,       1.2,      69.0,       8.7,,,     994.5,    1012.1,       1.2
진도군,268,05-22,      17.9,      23.8,      12.4,       3.3,,,,,,,       1.9
봉화,271,05-22,      16.4,      24.6,       8.4,       3.3,      66.7,       8.1,,,     973.2,    1009.8,       1.4
영주,272,05-22,      18.3,      25.2,      11.3,       3.2,      60.4,       8.6,,,     985.9,    1010.0,       2.3
문경,273,05-22,      18.4,      25.3,      11.5,       2.9,      60.8,       8.4,,,     990.4,    1010.3,       1.7
청송군,276,05-22,      17.1,      26.0,       8.7,       1.1,      65.4,       8.6,,,     988.1,    1012.2,       1.3
영덕,277,05-22,      18.2,      24.2,      12.5,       2.4,      63.7,       8.3,,,    1006.0,    1011.1,       2.6
의성,278,05-22,      18.0,      26.6,       9.6,       2.5,      62.8,       8.1,,,    1001.2,    1010.4,       1.2
구미,279,05-22,      19.7,      26.7,      12.8,       2.2,      59.0,       8.3,,,    1005.1,    1010.5,       1.5
영천,281,05-22,      18.8,      26.4,      11.3,       2.2,      60.1,       8.2,,,     999.9,    1010.6,       1.7
경주시,283,05-22,      18.9,      26.9,      11.6,       0.9,      64.0,       8.4,,,    1007.8,    1012.3,       2.3
경주시,283,05-22,      18.9,      26.9,      11.6,       0.9,      64.0,       8.4,,,    1007.8,    1012.3,       2.3
거창,284,05-22,      18.0,      25.6,      10.3,       2.3,      64.6,       8.1,,,     984.8,    1010.7,       1.4
합천,285,05-22,      19.3,      27.0,      11.9,       2.1,      60.0,       7.8,,,    1006.9,    1010.7,       1.5
밀양,288,05-22,      19.3,      26.8,      12.2,       2.8,      63.4,       7.9,,,    1009.4,    1010.8,       1.5
산청,289,05-22,      18.7,      25.9,      11.9,       2.4,      62.0,       8.1,,,     994.9,    1011.2,       1.6
거제,294,05-22,      18.8,      24.3,      13.7,       4.4,      65.1,       8.3,,,    1006.0,    1010.5,       1.8
남해,295,05-22,      19.2,      25.1,      14.0,       4.4,      63.6,       8.4,,,    1006.1,    1011.5,       1.5
강남,400,05-22,      20.1,      25.5,      15.4,       2.4,,,,,,,       1.7
서초,401,05-22,      20.1,      26.3,      14.9,       2.5,,,,,,,       1.4
강동,402,05-22,      19.6,      25.9,      14.0,       2.3,,,,,,,       1.6
송파,403,05-22,      20.2,      26.0,      15.4,       2.4,,,,,,,       1.7
강서,404,05-22,      19.1,      24.6,      14.6,       2.6,,,,,,,       1.7
양천,405,05-22,      20.0,      25.8,      15.4,       2.5,,,,,,,       1.5
도봉,406,05-22,      18.8,      25.4,      12.9,       2.6,,,,,,,       1.1
노원,407,05-22,      18.6,      25.6,      11.9,       2.7,,,,,,,       1.5
동대문,408,05-22,      20.1,      25.8,      15.2,       2.4,,,,,,,       1.9
중랑,409,05-22,      20.2,      25.8,      15.4,       2.4,,,,,,,       2.1
기상청,410,05-22,      19.5,      25.1,      14.7,       3.4,,,,,,,       1.5
마포,411,05-22,      19.7,      25.2,      15.3,       2.5,,,,,,,       2.2
서대문,412,05-22,      18.6,      25.3,      13.4,       2.7,,,,,,,       1.3
광진,413,05-22,      19.9,      25.6,      15.0,       2.2,,,,,,,       1.8
성북,414,05-22,      19.2,      24.9,      14.3,       2.6,,,,,,,       1.7
용산,415,05-22,      20.0,      25.6,      15.2,       2.4,,,,,,,       1.8
은평,416,05-22,      18.3,      24.7,      12.7,       2.5,,,,,,,       1.6
금천,417,05-22,      19.3,      24.7,      15.1,       2.8,,,,,,,       2.0
중구,419,05-22,      18.4,      24.8,      13.8,       2.5,,,,,,,       1.6
성동,421,05-22,      20.1,      25.4,      15.6,       2.4,,,,,,,       2.3
구로,423,05-22,      18.8,      24.9,      13.5,       2.6,,,,,,,       1.9
강북,424,05-22,      20.0,      25.7,      14.9,       2.8,,,,,,,       1.8
남현,425,05-22,      18.8,      25.2,      12.9,       2.2,,,,,,,       1.2
부천,433,05-22,      19.1,      24.4,      14.3,       3.4,,,,,,,       1.3
안양,434,05-22,      19.1,      24.3,      14.4,       3.1,,,,,,,       2.1
광명,437,05-22,      19.4,      24.8,      14.9,       3.4,,,,,,,       2.0
군포,438,05-22,      19.2,      24.8,      14.4,       3.2,,,,,,,       1.5
김포,441,05-22,      17.7,      23.4,      13.0,       3.3,,,,,,,       2.0
하남,444,05-22,      19.2,      25.9,      13.0,       2.6,,,,,,,       0.9
의왕,445,05-22,      17.5,      23.9,      11.8,       3.2,,,,,,,       1.0
포천,504,05-22,      18.5,      25.7,      11.9,       2.6,,,,,,,       1.5
가평조종,505,05-22,      17.1,      24.8,       9.8,       2.5,,,,,,,       1.2
영등포,510,05-22,      20.1,      25.5,      15.7,       2.5,,,,,,,       1.7
인천연수,512,05-22,      18.1,      23.5,      13.5,       2.9,,,,,,,       1.7
안성,516,05-22,      19.1,      25.6,      13.0,       2.0,,,,,,,       1.3
간성,517,05-22,      17.7,      22.7,      12.7,       3.7,,,,,,,       1.8
평창,526,05-22,      17.0,      24.5,      10.3,       2.3,,,,,,,       1.3
의정부,532,05-22,      18.3,      25.1,      12.0,       2.9,,,,,,,       1.1
횡성,536,05-22,      17.9,      25.9,      11.0,       2.3,,,,,,,       1.2
고양,540,05-22,      18.2,      25.5,      12.0,       2.7,,,,,,,       1.3
남양주,541,05-22,      18.1,      25.7,      11.0,       2.8,,,,,,,       1.2
안산,545,05-22,      17.3,      24.3,      11.3,       2.0,,,,,,,       1.6
경기광주,546,05-22,      18.0,      24.9,      11.9,       2.6,,,,,,,       1.6
여주,548,05-22,      18.7,      25.9,      12.2,       1.8,,,,,,,       1.4
용인,549,05-22,      17.8,      24.9,      11.5,       2.4,,,,,,,       1.5
오산,550,05-22,      18.5,      25.5,      12.6,       2.3,,,,,,,       1.3
평택,551,05-22,      19.3,      25.7,      13.8,       1.9,,,,,,,       1.8
화천,555,05-22,      17.6,      25.7,      10.9,       2.4,,,,,,,       1.1
양구,556,05-22,      17.1,      25.3,      10.5,       2.5,,,,,,,       1.2
시흥,565,05-22,      18.3,      24.0,      13.3,       2.7,,,,,,,       1.7
구리,569,05-22,      19.2,      25.9,      13.5,       2.7,,,,,,,       1.4
금곡,570,05-22,      17.5,      23.4,      12.7,       2.6,,,,,,,       1.4
화성,571,05-22,      17.9,      24.0,      12.8,       2.8,,,,,,,       1.3
성남,572,05-22,      19.6,      25.7,      13.8,       2.6,,,,,,,       1.2
과천,590,05-22,      18.7,      25.3,      12.6,       2.6,,,,,,,       1.9
진부령,595,05-22,      15.6,      21.6,      10.5,       4.3,,,,,,,       3.1
양주,598,05-22,      18.2,      25.3,      11.6,       2.5,,,,,,,       1.4
단양,601,05-22,      18.6,      26.2,      11.9,       2.0,,,,,,,       1.0
진천,602,05-22,      18.3,      25.5,      11.6,       2.5,,,,,,,       1.3
괴산,603,05-22,      18.0,      25.3,      11.1,       2.9,,,,,,,       1.2
옥천,604,05-22,      18.5,      25.6,      11.7,       2.3,,,,,,,       1.2
세종연서,611,05-22,      18.2,      25.5,      11.9,       2.6,,,,,,,       1.4
공주,612,05-22,      19.1,      26.1,      12.6,       2.9,,,,,,,       1.5
서천,614,05-22,      17.9,      23.5,      12.8,       2.4,,,,,,,       2.0
논산,615,05-22,      18.9,      25.7,      12.7,       2.2,,,,,,,       1.8
당진,616,05-22,      17.6,      23.9,      12.3,       2.2,,,,,,,       2.2
청양,618,05-22,      17.6,      24.8,      10.7,       2.4,,,,,,,       1.4
음성,619,05-22,      17.7,      25.5,      10.3,       2.1,,,,,,,       1.4
증평,623,05-22,      18.4,      25.9,      11.6,       2.1,,,,,,,       1.3
태안,627,05-22,      17.6,      23.1,      12.9,       2.4,,,,,,,       1.8
예산,628,05-22,      18.8,      25.5,      13.0,       1.8,,,,,,,       2.2
아산,634,05-22,      18.6,      25.0,      13.5,       1.8,,,,,,,       1.9
계룡,636,05-22,      17.6,      25.0,      10.3,       3.0,,,,,,,       1.1
오월드,642,05-22,      19.9,      26.4,      13.9,       3.0,,,,,,,       1.4
세천,643,05-22,      18.4,      25.6,      11.6,       2.3,,,,,,,       1.2
장동,648,05-22,      18.9,      25.6,      12.3,       2.4,,,,,,,       1.1
부평,649,05-22,      18.5,      26.0,      11.7,       1.9,,,,,,,       0.6
연천청산,652,05-22,      18.4,      25.6,      11.9,       2.5,,,,,,,       1.3
양양,670,05-22,      18.7,      23.8,      13.7,       2.6,,,,,,,       2.7
사북,674,05-22,      15.7,      22.1,       9.3,       1.5,,,,,,,       2.8
무안,699,05-22,      18.3,      24.4,      12.9,       1.8,,,,,,,       1.7
무주,701,05-22,      17.5,      25.3,      10.0,       2.0,,,,,,,       1.4
익산,702,05-22,      18.9,      25.3,      12.8,       2.0,,,,,,,       1.7
진안,703,05-22,      16.8,      24.1,       9.7,       2.4,,,,,,,       1.6
담양,706,05-22,      18.7,      25.8,      12.3,       2.4,,,,,,,       1.8
광산,708,05-22,      19.1,      26.0,      12.5,       2.3,,,,,,,       1.9
구례,709,05-22,      19.2,      27.0,      11.9,       2.2,,,,,,,       1.4
나주,710,05-22,      19.0,      26.3,      12.6,       2.8,,,,,,,       1.5
순천시,712,05-22,      19.9,      25.5,      14.7,       3.1,,,,,,,       1.9
광양읍,713,05-22,      19.6,      26.3,      13.5,       3.1,,,,,,,       1.4
조선대,722,05-22,      19.5,      25.8,      13.7,       1.9,,,,,,,       2.0
거문도,723,05-22,      18.2,      21.6,      15.6,       3.4,,,,,,,       3.1
추자도,724,05-22,      17.0,      20.1,      14.5,       3.6,,,,,,,       3.5
장성,730,05-22,      18.4,      25.8,      11.9,       2.5,,,,,,,       1.6
영암,731,05-22,      18.9,      25.1,      13.1,       2.3,,,,,,,       2.2
보성,732,05-22,      17.7,      24.2,      11.3,       3.7,,,,,,,       1.8
완주,734,05-22,      18.8,      26.2,      11.9,       2.3,,,,,,,       2.0
김제,737,05-22,      19.1,      25.2,      13.7,       2.0,,,,,,,       2.3
화순,741,05-22,      18.9,      26.3,      12.2,       2.0,,,,,,,       1.2
함평,754,05-22,      18.7,      25.1,      12.9,       2.2,,,,,,,       1.7
곡성,768,05-22,      18.7,      26.1,      12.1,       2.2,,,,,,,       1.4
성판악,782,05-22,      15.3,      19.5,      11.2,      11.1,,,,,,,       2.6
풍암,788,05-22,      19.6,      26.8,      13.1,       2.1,,,,,,,       1.3
압해도,789,05-22,      18.3,      23.5,      14.2,       1.9,,,,,,,       2.7
영양,801,05-22,      17.0,      24.8,       9.9,       2.8,,,,,,,       1.5
성주,810,05-22,      19.3,      26.8,      11.9,       2.2,,,,,,,       1.4
고령,812,05-22,      19.0,      26.9,      11.5,       2.5,,,,,,,       1.1
청도,813,05-22,      18.9,      26.8,      11.9,       2.7,,,,,,,       1.5
예천,815,05-22,      18.4,      26.1,      11.1,       2.5,,,,,,,       1.3
김천,822,05-22,      19.2,      27.1,      11.6,       2.2,,,,,,,       1.1
군위,823,05-22,      18.5,      26.6,      10.7,       2.4,,,,,,,       1.5
칠곡,825,05-22,      19.8,      27.2,      12.8,       2.2,,,,,,,       1.8
경산,827,05-22,      20.5,      27.6,      14.1,       2.4,,,,,,,       1.9
달성,828,05-22,      20.2,      27.7,      13.5,       2.2,,,,,,,       1.7
대구서구,846,05-22,      20.9,      27.7,      14.7,       2.0,,,,,,,       2.1
신암,860,05-22,      20.9,      27.2,      15.1,       2.0,      54.3,       8.0,       4.6,,    1003.4,    1010.3,       2.2
완산,864,05-22,      19.6,      26.2,      13.4,       2.1,      63.3,       7.6,       4.5,       4.6,    1004.0,    1010.4,       1.8
삼척,876,05-22,      18.7,      23.5,      14.0,       2.8,,,,,,,       2.1
울기,901,05-22,      17.3,      21.0,      14.7,       2.8,,,,,,,       2.5
삼천포,907,05-22,      18.9,      23.5,      15.4,       3.7,,,,,,,       1.8
영도,910,05-22,      17.7,      21.2,      14.7,       3.5,,,,,,,       3.2
고성,918,05-22,      19.1,      25.0,      13.8,       4.0,,,,,,,       2.0
창녕,919,05-22,      19.6,      27.7,      11.8,       2.6,,,,,,,       1.8
함안,920,05-22,      19.1,      27.5,      11.9,       3.0,,,,,,,       1.3
가덕도,921,05-22,      18.3,      22.7,      15.4,       3.2,,,,,,,       3.4
기장,923,05-22,      18.5,      23.7,      13.5,       3.1,,,,,,,       1.8
간절곶,924,05-22,      17.3,      20.5,      14.6,       3.1,,,,,,,       3.5
하동,932,05-22,      19.8,      26.5,      13.8,       3.7,,,,,,,       1.5
해운대,937,05-22,      18.8,      23.5,      14.8,       3.6,,,,,,,       2.2
부산진,938,05-22,      19.8,      24.8,      15.7,       3.6,,,,,,,       2.2
동래,940,05-22,      19.8,      25.1,      15.2,       3.4,,,,,,,       1.8
북구,941,05-22,      19.5,      24.8,      15.0,       3.5,,,,,,,       2.0
부산남구,942,05-22,      19.5,      23.7,      15.8,       3.5,,,,,,,       1.9
정자,949,05-22,      18.6,      24.0,      13.6,       2.4,,,,,,,       2.6
속초,90,05-23,      17.5,      22.4,      13.2,       3.7,      69.6,       7.2,,,    1007.0,    1009.1,       2.4
철원,95,05-23,      17.8,      24.2,      11.7,       2.6,      66.0,       7.4,,,     991.7,    1009.7,       1.9
동두천,98,05-23,      18.6,      25.9,      12.5,       2.5,      63.6,       7.6,,,     997.2,    1010.2,       1.5
파주,99,05-23,      17.8,      25.0,      11.8,       2.9,      71.5,       7.7,,,    1007.0,    1010.6,       1.5
대관령,100,05-23,      13.8,      20.2,       7.8,       4.3,      68.4,       8.0,,,     918.3,    1009.8,       3.5
춘천,101,05-23,      18.8,      25.5,      12.6,       2.6,      67.0,       7.5,,,    1001.0,    1009.9,       1.3
백령도,102,05-23,      15.8,      20.0,      12.4,       2.9,      69.6,       7.8,       5.3,,     994.3,    1010.0,       4.6
강릉,105,05-23,      19.4,      24.4,      14.7,       3.5,      59.5,       7.4,,,    1006.4,    1009.5,       2.4
동해,106,05-23,      17.8,      22.4,      13.7,       2.8,      67.5,       7.6,,,    1004.9,    1009.3,       2.3
서울,108,05-23,      19.5,      24.9,      14.7,       2.9,      60.3,       7.2,       4.8,       5.3,    1000.0,    1010.0,       2.3
인천,112,05-23,      17.9,      22.7,      14.3,       3.2,      70.8,       7.8,       4.9,       4.5,    1001.9,    1010.0,       2.5
원주,114,05-23,      19.1,      25.6,      12.9,       2.3,      61.8,       7.2,,,     992.6,    1009.9,       1.1
울릉도,115,05-23,      17.2,      21.1,      13.7,       3.9,      68.8,       7.9,       5.1,       5.4,     984.3,    1010.0,       3.7
수원,119,05-23,      18.9,      24.8,      13.6,       3.1,      66.7,       7.6,       4.8,       5.0,    1006.2,    1010.4,       1.8
영월,121,05-23,      18.0,      25.7,      10.9,       2.0,      64.4,       7.5,,,     982.3,    1010.1,       1.3
충주,127,05-23,      18.7,      25.7,      12.1,       2.3,      61.0,       7.8,,,     999.0,    1010.2,       1.6
서산,129,05-23,      17.9,      23.7,      12.7,       3.6,      71.9,       7.9,,,    1007.5,    1010.5,       2.6
울진,130,05-23,      17.4,      22.3,      12.9,       2.9,      71.1,       7.7,,,    1003.8,    1009.6,       2.9
청주,131,05-23,      19.9,      26.1,      14.4,       2.4,      58.2,       8.0,       4.8,       5.5,    1003.5,    1010.2,       1.8
대전,133,05-23,      19.7,      25.7,      13.9,       2.9,      63.3,       8.1,       4.7,       5.0,    1002.2,    1010.3,       1.9
추풍령,135,05-23,      18.3,      24.8,      11.8,       2.6,      62.1,       7.8,,,     982.0,    1010.2,       2.4
안동,136,05-23,      19.0,      26.0,      12.2,       3.2,      62.8,       7.8,       4.7,       5.8,     993.9,    1010.2,       1.6
상주,137,05-23,      19.8,      26.3,      13.6,       2.9,      59.0,       8.2,,,     999.2,    1010.6,       1.5
포항,138,05-23,      19.8,      24.8,      15.5,       3.2,      63.5,       7.8,       4.8,       5.8,    1010.0,    1010.4,       2.6
군산,140,05-23,      18.3,      23.6,      14.0,       2.7,      75.4,       7.7,,,    1007.4,    1010.6,       3.1
울산,152,05-23,      19.5,      25.2,      14.3,       3.7,      64.3,       7.5,       4.7,,    1005.4,    1010.3,       1.9
창원,155,05-23,      19.7,      25.1,      15.2,       4.2,      66.2,       7.8,       4.7,,    1007.7,    1010.2,       1.9
광주,156,05-23,      20.0,      26.1,      14.6,       1.9,      63.6,       7.9,       4.8,,    1002.0,    1010.4,       2.1
부산,159,05-23,      19.0,      23.3,      15.7,       5.0,      67.9,       8.1,       4.8,       4.5,    1002.2,    1010.4,       3.3
통영,162,05-23,      18.6,      23.3,      14.9,       5.1,      72.5,       7.9,,,    1007.1,    1010.8,       2.1
목포,165,05-23,      18.8,      23.7,      14.7,       2.2,      73.3,       7.7,       4.9,       4.6,    1005.9,    1010.8,       3.2
여수,168,05-23,      19.0,      23.0,      15.9,       4.7,      68.1,       8.0,       4.8,       5.4,    1002.8,    1010.6,       3.3
흑산도,169,05-23,      16.4,      20.3,      13.4,       2.9,      80.3,       6.9,       5.4,,    1001.6,    1010.8,       4.3
완도,170,05-23,      18.8,      23.7,      14.5,       4.0,      70.4,       7.3,,,    1007.1,    1010.6,       3.2
고창,172,05-23,      19.1,      26.0,      12.9,       1.0,      73.6,       8.6,,,    1006.6,    1012.6,       2.3
제주,184,05-23,      19.2,      23.0,      16.1,       2.3,      69.2,       7.2,       5.3,       4.6,    1008.3,    1010.8,       2.7
고산,185,05-23,      18.0,      21.4,      15.3,       2.6,      80.2,       6.9,,,    1002.0,    1010.4,       5.1
성산,188,05-23,      18.6,      23.0,      14.4,       4.2,      73.4,       7.0,,,    1008.8,    1011.0,       2.6
서귀포,189,05-23,      19.8,      23.2,      16.8,       6.1,      70.4,       6.9,       5.4,       4.2,    1004.5,    1010.5,       2.2
진주,192,05-23,      19.1,      26.1,      12.6,       3.6,      66.2,       7.9,,,    1007.3,    1010.4,       1.4
강화,201,05-23,      17.1,      22.4,      12.1,       3.2,      70.4,       7.4,,,    1005.1,    1010.6,       2.0
양평,202,05-23,      18.8,      25.8,      12.4,       2.3,      65.8,       7.6,,,    1005.1,    1010.7,       1.2
이천,203,05-23,      18.8,      25.7,      12.3,       2.4,      61.6,       7.6,,,    1001.2,    1010.2,       1.3
인제,211,05-23,      17.2,      24.5,      10.6,       2.6,      66.0,       7.3,,,     986.9,    1010.2,       1.9
홍천,212,05-23,      18.0,      25.7,      11.2,       2.5,      62.6,       7.5,,,     994.0,    1010.5,       1.2
태백,216,05-23,      15.9,      22.5,       9.5,       2.7,      59.9,       7.7,,,     928.9,    1009.2,       1.7
정선군,217,05-23,      18.1,      27.0,      10.4,       1.4,      60.3,       8.4,,,     976.4,    1011.8,       1.6
제천,221,05-23,      17.4,      24.8,      10.3,       2.2,      63.8,       8.0,,,     980.2,    1010.4,       1.5
보은,226,05-23,      17.8,      25.1,      10.9,       2.8,      64.0,       8.1,,,     989.9,    1010.0,       1.3
천안,232,05-23,      18.7,      25.3,      12.5,       2.5,      63.0,       7.8,,,    1006.4,    1010.3,       1.7
보령,235,05-23,      17.8,      23.1,      12.9,       2.6,      72.0,       8.0,,,    1008.6,    1010.8,       1.9
부여,236,05-23,      18.8,      25.8,      12.6,       3.2,      67.3,       7.9,,,    1009.1,    1010.7,       1.3
금산,238,05-23,      18.2,      25.6,      11.1,       2.3,      63.8,       8.1,,,     990.6,    1010.5,       1.2
부안,243,05-23,      18.5,      24.6,      13.2,       2.0,      69.9,       8.1,,,    1009.6,    1010.8,       1.8
임실,244,05-23,      17.4,      25.1,      10.3,       1.9,      67.2,       8.0,,,     982.2,    1010.8,       1.4
정읍,245,05-23,      19.3,      25.8,      13.3,       2.1,      63.0,       7.7,,,    1005.2,    1010.6,       1.4
남원,247,05-23,      18.9,      26.1,      12.0,       2.1,      64.9,       8.0,,,     999.0,    1010.7,       1.6
장수,248,05-23,      17.0,      23.9,      10.2,       2.5,      68.7,       7.7,,,     963.8,    1010.5,       1.8
영광군,252,05-23,      18.6,      24.9,      13.0,       2.1,      71.3,       8.0,,,    1006.8,    1010.2,       2.1
김해시,253,05-23,      20.5,      26.5,      15.5,       3.9,      62.6,       8.3,,,    1005.0,    1011.9,       2.0
순창군,254,05-23,      19.1,      26.3,      12.4,       2.4,      65.6,       8.2,,,     996.7,    1011.5,       1.7
양산시,257,05-23,      20.2,      26.7,      14.4,       4.5,      61.5,       7.7,,,    1010.6,    1012.3,       2.5
강진군,259,05-23,      19.1,      25.3,      13.3,       2.3,      68.7,       8.0,,,    1010.5,    1012.0,       2.3
장흥,260,05-23,      18.6,      24.8,      12.5,       2.9,      69.7,       7.7,,,    1005.6,    1010.7,       2.0
해남,261,05-23,      18.6,      24.6,      12.9,       2.7,      71.4,       8.0,,,    1008.9,    1010.9,       2.3
고흥,262,05-23,      18.6,      24.7,      12.7,       3.8,      66.6,       7.6,,,    1004.7,    1010.8,       1.5
의령군,263,05-23,      19.7,      28.3,      12.0,       1.9,      65.4,       8.0,,,    1010.4,    1012.0,       1.1
함양군,264,05-23,      18.9,      27.3,      10.9,       1.2,      68.7,       8.4,,,     994.5,    1012.0,       1.1
진도군,268,05-23,      18.1,      24.0,      12.6,       3.7,,,,,,,       1.9
봉화,271,05-23,      16.6,      24.7,       8.8,       3.3,      67.1,       7.9,,,     973.1,    1009.6,       1.4
영주,272,05-23,      18.5,      25.3,      11.6,       3.1,      61.1,       8.4,,,     985.7,    1009.8,       2.3
문경,273,05-23,      18.5,      25.4,      11.8,       3.0,      61.4,       8.2,,,     990.2,    1010.1,       1.7
청송군,276,05-23,      17.7,      26.8,       9.2,       1.1,      64.8,       8.7,,,     988.0,    1012.0,       1.3
영덕,277,05-23,      18.3,      24.3,      12.7,       2.9,      64.0,       8.1,,,    1005.9,    1011.0,       2.5
의성,278,05-23,      18.2,      26.7,      10.0,       2.7,      63.3,       7.9,,,    1001.0,    1010.2,       1.2
구미,279,05-23,      19.9,      26.7,      13.0,       2.6,      60.0,       8.1,,,    1004.9,    1010.3,       1.4
영천,281,05-23,      19.0,      26.4,      11.6,       2.7,      60.9,       8.0,,,     999.7,    1010.5,       1.7
경주시,283,05-23,      19.4,      27.4,      12.0,       0.9,      63.9,       8.5,,,    1007.7,    1012.1,       2.3
경주시,283,05-23,      19.4,      27.4,      12.0,       0.9,      63.9,       8.5,,,    1007.7,    1012.1,       2.3
거창,284,05-23,      18.2,      25.7,      10.7,       2.6,      65.0,       7.9,,,     984.6,    1010.5,       1.4
합천,285,05-23,      19.4,      27.1,      12.2,       2.9,      60.6,       7.6,,,    1006.7,    1010.5,       1.4
밀양,288,05-23,      19.5,      26.9,      12.6,       3.5,      63.9,       7.7,,,    1009.3,    1010.7,       1.4
산청,289,05-23,      18.8,      26.0,      12.2,       2.9,      62.6,       7.8,,,     994.7,    1011.0,       1.5
거제,294,05-23,      19.0,      24.5,      13.9,       6.3,      64.9,       8.1,,,    1005.8,    1010.3,       1.8
남해,295,05-23,      19.4,      25.3,      14.2,       5.6,      64.0,       8.2,,,    1005.9,    1011.3,       1.5
강남,400,05-23,      20.3,      25.8,      15.7,       2.4,,,,,,,       1.7
서초,401,05-23,      20.4,      26.5,      15.3,       2.5,,,,,,,       1.4
강동,402,05-23,      19.9,      26.2,      14.4,       2.3,,,,,,,       1.6
송파,403,05-23,      20.6,      26.2,      15.8,       2.4,,,,,,,       1.8
강서,404,05-23,      19.4,      24.9,      15.0,       2.4,,,,,,,       1.7
양천,405,05-23,      20.4,      26.0,      15.8,       2.4,,,,,,,       1.5
도봉,406,05-23,      19.2,      25.7,      13.4,       2.5,,,,,,,       1.1
